ticker,year_month,period_end,open,high,low,close,r3,c3,pct_range_r3,error
360ONE.NS,,,,,,,,,,no_completed_month
3MINDIA.NS,,,,,,,,,,no_completed_month
ABB.NS,,,,,,,,,,no_completed_month
ACC.NS,,,,,,,,,,no_completed_month
ACMESOLAR.NS,,,,,,,,,,no_completed_month
AIAENG.NS,,,,,,,,,,no_completed_month
APLAPOLLO.NS,,,,,,,,,,no_completed_month
AUBANK.NS,,,,,,,,,,no_completed_month
AWL.NS,,,,,,,,,,no_completed_month
AADHARHFC.NS,,,,,,,,,,no_completed_month
AARTIIND.NS,,,,,,,,,,no_completed_month
AAVAS.NS,,,,,,,,,,no_completed_month
ABBOTINDIA.NS,,,,,,,,,,no_completed_month
ACE.NS,,,,,,,,,,no_completed_month
ADANIENSOL.NS,,,,,,,,,,no_completed_month
ADANIENT.NS,,,,,,,,,,no_completed_month
ADANIGREEN.NS,,,,,,,,,,no_completed_month
ADANIPORTS.NS,,,,,,,,,,no_completed_month
ADANIPOWER.NS,,,,,,,,,,no_completed_month
ATGL.NS,,,,,,,,,,no_completed_month
ABCAPITAL.NS,,,,,,,,,,no_completed_month
ABFRL.NS,,,,,,,,,,no_completed_month
ABLBL.NS,,,,,,,,,,no_completed_month
ABREL.NS,,,,,,,,,,no_completed_month
ABSLAMC.NS,,,,,,,,,,no_completed_month
AEGISLOG.NS,,,,,,,,,,no_completed_month
AEGISVOPAK.NS,,,,,,,,,,no_completed_month
AFCONS.NS,,,,,,,,,,no_completed_month
AFFLE.NS,,,,,,,,,,no_completed_month
AJANTPHARM.NS,,,,,,,,,,no_completed_month
AKUMS.NS,,,,,,,,,,no_completed_month
AKZOINDIA.NS,,,,,,,,,,no_completed_month
APLLTD.NS,,,,,,,,,,no_completed_month
ALKEM.NS,,,,,,,,,,no_completed_month
ALKYLAMINE.NS,,,,,,,,,,no_completed_month
ALOKINDS.NS,,,,,,,,,,no_completed_month
ARE&M.NS,,,,,,,,,,no_completed_month
AMBER.NS,,,,,,,,,,no_completed_month
AMBUJACEM.NS,,,,,,,,,,no_completed_month
ANANDRATHI.NS,,,,,,,,,,no_completed_month
ANANTRAJ.NS,,,,,,,,,,no_completed_month
ANGELONE.NS,,,,,,,,,,no_completed_month
APARINDS.NS,,,,,,,,,,no_completed_month
APOLLOHOSP.NS,,,,,,,,,,no_completed_month
APOLLOTYRE.NS,,,,,,,,,,no_completed_month
APTUS.NS,,,,,,,,,,no_completed_month
ASAHIINDIA.NS,,,,,,,,,,no_completed_month
ASHOKLEY.NS,,,,,,,,,,no_completed_month
ASIANPAINT.NS,,,,,,,,,,no_completed_month
ASTERDM.NS,,,,,,,,,,no_completed_month
